date,open,high,low,close,volume
2023-06-23 13:00:00,958.0,958.4,957.5,957.55,53902
2023-06-23 13:05:00,957.5,958.05,957.15,957.8,43883
2023-06-23 13:10:00,957.75,958.2,957.0,957.85,50999
2023-06-23 13:15:00,957.65,958.75,957.3,958.3,63552
2023-06-23 13:20:00,958.3,958.65,956.55,956.9,85148
2023-06-23 13:25:00,956.9,957.1,954.8,955.5,147196
2023-06-23 13:30:00,955.5,956.95,955.25,955.5,91250
2023-06-23 13:35:00,955.5,956.7,954.85,955.85,128066
2023-06-23 13:40:00,955.85,957.5,955.65,956.7,118806
2023-06-23 13:45:00,956.75,957.9,956.45,957.45,79128
2023-06-23 13:50:00,957.45,958.45,957.1,957.9,60278
2023-06-23 13:55:00,957.95,958.35,956.7,956.8,90996
2023-06-23 14:00:00,956.85,957.65,956.35,956.75,80294
2023-06-23 14:05:00,956.85,957.45,956.3,956.85,72738
2023-06-23 14:10:00,957.0,957.05,955.45,955.95,63494
2023-06-23 14:15:00,955.95,957.2,955.6,957.0,68567
2023-06-23 14:20:00,957.0,957.15,955.65,956.75,72344
2023-06-23 14:25:00,956.75,958.35,956.25,958.05,99698
2023-06-23 14:30:00,958.05,958.8,956.65,957.0,77555
2023-06-23 14:35:00,956.95,957.95,956.15,957.75,75502
2023-06-23 14:40:00,957.8,958.05,956.85,957.35,69376
2023-06-23 14:45:00,957.35,957.7,956.6,957.25,53898
2023-06-23 14:50:00,957.35,957.85,957.0,957.35,60875
2023-06-23 14:55:00,957.35,957.8,957.05,957.7,54144
2023-06-23 15:00:00,957.7,958.15,956.05,958.1,173437
2023-06-23 15:05:00,958.15,960.9,958.15,960.0,189470
2023-06-23 15:10:00,960.05,960.1,958.3,958.8,183815
2023-06-23 15:15:00,958.8,959.15,957.65,957.7,186794
2023-06-23 15:20:00,957.7,959.2,957.35,958.4,190126
2023-06-23 15:25:00,958.45,959.6,957.75,958.55,144894
2023-06-26 09:15:00,959.5,960.0,957.0,959.5,225324
2023-06-26 09:20:00,959.65,962.75,959.5,961.0,120523
