date,open,high,low,close,volume
2023-06-23 13:25:00,857.75,858.0,857.65,857.8,32443
2023-06-23 13:30:00,857.8,858.6,857.75,858.6,41022
2023-06-23 13:35:00,858.25,859.05,858.25,858.85,48742
2023-06-23 13:40:00,858.8,859.2,858.65,858.95,41899
2023-06-23 13:45:00,858.9,860.5,858.7,859.35,119199
2023-06-23 13:50:00,859.3,859.7,857.9,858.0,69975
2023-06-23 13:55:00,857.95,858.15,857.0,857.0,56494
2023-06-23 14:00:00,857.1,858.2,856.2,856.95,120702
2023-06-23 14:05:00,856.75,858.85,856.75,858.5,73136
2023-06-23 14:10:00,858.65,861.0,858.65,860.0,158533
2023-06-23 14:15:00,859.7,860.4,859.5,860.0,63322
2023-06-23 14:20:00,859.95,860.05,857.55,858.75,79215
2023-06-23 14:25:00,858.75,860.4,858.5,860.0,138313
2023-06-23 14:30:00,860.0,860.6,859.35,859.75,82214
2023-06-23 14:35:00,859.9,860.75,859.7,860.75,56648
2023-06-23 14:40:00,860.8,860.85,859.65,859.65,41345
2023-06-23 14:45:00,859.4,859.9,858.5,859.65,58335
2023-06-23 14:50:00,859.65,859.85,858.85,859.1,54021
2023-06-23 14:55:00,859.1,859.95,858.65,859.65,71537
2023-06-23 15:00:00,859.65,859.65,858.55,858.75,108229
2023-06-23 15:05:00,858.75,859.45,856.85,857.0,188063
2023-06-23 15:10:00,857.2,857.85,856.0,857.05,154718
2023-06-23 15:15:00,857.05,857.9,855.7,855.95,208869
2023-06-23 15:20:00,855.95,856.2,850.0,850.1,436475
2023-06-23 15:25:00,850.15,852.35,849.2,851.0,268925
2023-06-26 09:15:00,857.35,857.35,848.35,850.5,202800
2023-06-26 09:20:00,850.6,850.8,848.8,850.15,44958
2023-06-26 09:25:00,850.55,852.9,850.15,852.0,37372
2023-06-26 09:30:00,851.65,852.5,850.5,851.2,28428
2023-06-26 09:35:00,851.15,851.35,850.15,850.75,25393
2023-06-26 09:40:00,850.95,851.45,850.6,851.05,13911
