date,open,high,low,close,volume
2023-06-23 13:25:00,478.75,479.7,478.55,479.2,16090
2023-06-23 13:30:00,479.2,479.3,478.8,479.15,10054
2023-06-23 13:35:00,479.15,479.85,479.0,479.65,8538
2023-06-23 13:40:00,479.65,480.75,479.4,480.1,16430
2023-06-23 13:45:00,480.1,481.2,480.1,481.2,13754
2023-06-23 13:50:00,481.15,481.6,480.5,480.95,27668
2023-06-23 13:55:00,480.95,481.4,480.65,480.8,18125
2023-06-23 14:00:00,480.8,481.1,479.9,480.15,12350
2023-06-23 14:05:00,480.15,481.0,479.65,480.45,20321
2023-06-23 14:10:00,480.45,480.45,479.45,479.9,12315
2023-06-23 14:15:00,479.9,480.0,479.6,480.0,10128
2023-06-23 14:20:00,479.8,480.35,479.05,479.55,21984
2023-06-23 14:25:00,479.6,480.45,479.45,480.25,13582
2023-06-23 14:30:00,480.45,481.4,480.25,480.25,27681
2023-06-23 14:35:00,480.25,480.3,479.25,479.35,31275
2023-06-23 14:40:00,479.4,479.95,479.15,479.9,19733
2023-06-23 14:45:00,479.9,479.9,479.1,479.45,24022
2023-06-23 14:50:00,479.45,479.6,479.1,479.2,20129
2023-06-23 14:55:00,479.15,480.3,479.1,480.0,25873
2023-06-23 15:00:00,479.95,479.95,478.7,478.85,49853
2023-06-23 15:05:00,478.75,478.85,478.55,478.6,43277
2023-06-23 15:10:00,478.8,479.35,478.15,478.3,75209
2023-06-23 15:15:00,478.3,478.35,476.2,476.55,95891
2023-06-23 15:20:00,476.5,477.9,476.3,477.2,77761
2023-06-23 15:25:00,477.2,477.45,476.0,476.0,72647
2023-06-26 09:15:00,477.1,477.45,474.9,476.3,94983
2023-06-26 09:20:00,476.3,476.9,475.45,475.9,66093
2023-06-26 09:25:00,475.8,476.5,475.1,476.25,35400
2023-06-26 09:30:00,476.45,477.25,476.15,477.05,39267
2023-06-26 09:35:00,477.05,477.45,476.05,476.05,22966
2023-06-26 09:40:00,476.05,476.6,475.9,476.05,19695
2023-06-26 09:45:00,475.7,475.75,474.3,474.6,56080
2023-06-26 09:50:00,474.6,474.6,473.5,473.7,29093
2023-06-26 09:55:00,473.7,474.0,472.5,472.55,48610
2023-06-26 10:00:00,472.7,473.25,471.7,472.0,39977
2023-06-26 10:05:00,472.1,472.9,471.9,472.05,42218
2023-06-26 10:10:00,472.0,472.95,471.6,471.8,34969
2023-06-26 10:15:00,471.85,472.45,471.75,471.9,25751
2023-06-26 10:20:00,471.9,472.45,471.65,472.05,24262
2023-06-26 10:25:00,472.05,472.05,471.05,471.2,35723
2023-06-26 10:30:00,471.2,471.75,470.5,471.45,46873
2023-06-26 10:35:00,471.5,471.5,470.45,470.75,31341
2023-06-26 10:40:00,470.8,471.75,470.5,471.45,28575
2023-06-26 10:45:00,471.45,471.8,470.8,471.0,30457
2023-06-26 10:50:00,470.75,471.0,470.3,470.65,52220
2023-06-26 10:55:00,470.75,470.85,469.7,470.15,55233
2023-06-26 11:00:00,470.05,471.7,470.05,471.45,31595
2023-06-26 11:05:00,471.5,472.65,471.5,472.4,50814
2023-06-26 11:10:00,472.4,472.6,470.75,471.0,60065
2023-06-26 11:15:00,471.0,472.4,471.0,472.15,34762
2023-06-26 11:20:00,472.15,473.3,472.0,472.4,56074
2023-06-26 11:25:00,472.4,472.7,471.8,471.9,22962
2023-06-26 11:30:00,471.95,472.15,471.6,472.15,9680
2023-06-26 11:35:00,472.15,473.0,472.0,472.7,12706
2023-06-26 11:40:00,472.7,473.2,472.0,472.1,15375
2023-06-26 11:45:00,472.1,473.25,471.75,473.0,33653
2023-06-26 11:50:00,473.15,473.45,472.75,472.8,20852
2023-06-26 11:55:00,472.85,473.65,472.8,473.35,22562
2023-06-26 12:00:00,473.35,473.6,472.8,473.3,15699
2023-06-26 12:05:00,473.35,474.45,473.15,474.45,45592
2023-06-26 12:10:00,474.3,474.95,474.15,474.65,35613
2023-06-26 12:15:00,474.65,475.0,474.4,474.95,18705
2023-06-26 12:20:00,474.95,475.3,474.75,475.0,25397
2023-06-26 12:25:00,474.9,475.2,474.4,475.0,16637
2023-06-26 12:30:00,475.0,475.1,474.45,475.0,23294
2023-06-26 12:35:00,475.0,475.0,474.0,474.3,14691
2023-06-26 12:40:00,474.3,474.4,474.05,474.4,11158
2023-06-26 12:45:00,474.35,474.65,474.15,474.45,9930
2023-06-26 12:50:00,474.45,474.95,474.15,474.8,11022
2023-06-26 12:55:00,474.55,474.8,473.3,473.5,27610
2023-06-26 13:00:00,473.5,473.6,473.05,473.15,20831
2023-06-26 13:05:00,473.0,473.25,472.55,472.8,17550
2023-06-26 13:10:00,472.65,473.5,472.55,473.5,15793
2023-06-26 13:15:00,473.4,473.95,473.3,473.95,40806
2023-06-26 13:20:00,473.8,474.5,473.75,474.45,17985
2023-06-26 13:25:00,474.15,474.6,473.8,474.25,8850
2023-06-26 13:30:00,474.25,474.5,473.85,474.15,12410
2023-06-26 13:35:00,474.2,474.9,474.05,474.6,20674
2023-06-26 13:40:00,474.4,474.6,474.0,474.3,7500
2023-06-26 13:45:00,474.05,474.8,474.0,474.65,23646
