date,open,high,low,close,volume
2023-06-23 12:55:00,923.65,923.8,922.0,922.45,159645
2023-06-23 13:00:00,922.65,922.85,921.7,922.2,58620
2023-06-23 13:05:00,922.2,923.0,921.55,922.35,47068
2023-06-23 13:10:00,922.45,923.0,922.15,922.75,65708
2023-06-23 13:15:00,922.75,924.0,921.9,923.95,109717
2023-06-23 13:20:00,923.9,924.25,922.8,923.15,119440
2023-06-23 13:25:00,923.1,925.2,922.9,924.25,294891
2023-06-23 13:30:00,924.2,924.55,923.55,924.45,201901
2023-06-23 13:35:00,924.5,926.0,924.35,925.35,465689
2023-06-23 13:40:00,925.35,927.0,924.55,925.85,597233
2023-06-23 13:45:00,925.85,926.8,925.6,925.8,57975
2023-06-23 13:50:00,925.95,926.75,925.1,926.3,70304
2023-06-23 13:55:00,926.3,926.4,924.75,925.2,86041
2023-06-23 14:00:00,925.1,925.25,924.35,924.8,63566
2023-06-23 14:05:00,924.7,925.5,923.55,923.7,92718
2023-06-23 14:10:00,923.75,924.0,922.2,923.5,97999
2023-06-23 14:15:00,923.25,924.55,922.9,924.15,60029
2023-06-23 14:20:00,924.1,924.55,922.9,924.0,115889
2023-06-23 14:25:00,923.9,925.15,923.3,925.15,139329
2023-06-23 14:30:00,925.2,926.65,923.45,924.6,324160
2023-06-23 14:35:00,924.75,925.85,924.1,925.7,203896
2023-06-23 14:40:00,925.8,926.35,924.1,924.85,152491
2023-06-23 14:45:00,925.1,925.2,924.0,924.65,66110
2023-06-23 14:50:00,924.3,924.8,923.35,923.65,41216
2023-06-23 14:55:00,923.75,924.45,923.3,923.85,47780
2023-06-23 15:00:00,923.8,923.85,922.05,923.05,152952
2023-06-23 15:05:00,923.0,924.0,921.8,923.85,178105
2023-06-23 15:10:00,923.9,924.7,923.6,924.15,153447
2023-06-23 15:15:00,924.15,924.9,923.75,923.75,190541
2023-06-23 15:20:00,923.7,924.4,922.85,923.65,206621
2023-06-23 15:25:00,923.7,924.5,923.3,923.9,106771
2023-06-26 09:15:00,927.1,930.8,927.1,929.7,552988
2023-06-26 09:20:00,929.75,931.3,929.5,930.7,179586
2023-06-26 09:25:00,930.7,931.75,930.5,930.6,143813
2023-06-26 09:30:00,930.3,931.35,929.4,930.8,166951
2023-06-26 09:35:00,930.7,930.9,929.15,929.3,125628
2023-06-26 09:40:00,929.25,929.3,928.25,928.55,99968
2023-06-26 09:45:00,928.5,929.25,928.25,929.05,79495
2023-06-26 09:50:00,929.05,929.2,927.3,928.55,124268
2023-06-26 09:55:00,928.5,929.35,927.8,927.95,87888
2023-06-26 10:00:00,927.85,928.9,927.45,927.95,112020
2023-06-26 10:05:00,927.95,928.0,926.2,926.5,196820
2023-06-26 10:10:00,926.55,928.1,926.2,927.1,175902
2023-06-26 10:15:00,927.0,927.1,925.75,926.85,117861
2023-06-26 10:20:00,926.7,927.35,926.0,926.25,205143
2023-06-26 10:25:00,926.2,927.15,924.6,924.6,233962
2023-06-26 10:30:00,924.65,925.7,923.2,924.0,175598
2023-06-26 10:35:00,924.0,924.0,923.4,923.95,224221
2023-06-26 10:40:00,924.0,925.4,923.95,924.75,193795
2023-06-26 10:45:00,925.0,925.05,924.75,924.95,107750
2023-06-26 10:50:00,925.0,925.05,923.95,924.4,106759
2023-06-26 10:55:00,924.4,925.0,924.3,924.95,84038
2023-06-26 11:00:00,924.85,925.0,924.6,925.0,97130
2023-06-26 11:05:00,925.0,926.1,924.75,925.05,175394
2023-06-26 11:10:00,925.0,925.75,924.5,924.8,92934
2023-06-26 11:15:00,924.6,925.0,924.3,925.0,74659
2023-06-26 11:20:00,925.0,925.5,924.7,924.7,123277
2023-06-26 11:25:00,924.7,925.0,924.1,924.7,99985
2023-06-26 11:30:00,924.75,925.4,924.65,924.95,70149
2023-06-26 11:35:00,924.95,925.95,924.8,925.5,85136
2023-06-26 11:40:00,925.55,925.75,924.65,924.65,126811
2023-06-26 11:45:00,924.7,925.8,924.65,925.25,74779
2023-06-26 11:50:00,925.25,925.8,925.0,925.4,93913
2023-06-26 11:55:00,925.4,926.0,925.25,925.75,94152
2023-06-26 12:00:00,925.8,926.7,925.75,925.95,118698
2023-06-26 12:05:00,925.95,926.0,925.65,925.8,67790
2023-06-26 12:10:00,925.8,926.05,925.5,925.9,72156
2023-06-26 12:15:00,925.85,926.3,925.4,926.2,143979
2023-06-26 12:20:00,926.1,926.65,925.8,926.6,154324
2023-06-26 12:25:00,926.6,928.0,926.15,927.5,206221
2023-06-26 12:30:00,927.55,928.0,926.8,927.75,148906
2023-06-26 12:35:00,927.7,928.2,926.55,927.7,225410
2023-06-26 12:40:00,927.7,928.35,927.2,927.5,368067
2023-06-26 12:45:00,927.5,927.8,926.6,926.95,179415
2023-06-26 12:50:00,926.95,927.5,926.0,926.35,102096
2023-06-26 12:55:00,926.2,927.5,926.2,927.2,132045
2023-06-26 13:00:00,927.2,927.3,926.45,926.95,129811
2023-06-26 13:05:00,926.9,927.0,926.0,926.75,127935
2023-06-26 13:10:00,926.85,926.85,925.9,926.65,252698
2023-06-26 13:15:00,926.55,927.0,926.35,926.95,116838
2023-06-26 13:20:00,926.9,927.0,925.55,926.0,108646
2023-06-26 13:25:00,925.8,926.75,925.8,926.35,144218
2023-06-26 13:30:00,926.35,926.85,925.9,926.8,84640
2023-06-26 13:35:00,926.8,927.5,926.5,926.8,78915
2023-06-26 13:40:00,926.9,926.95,926.0,926.8,106056
2023-06-26 13:45:00,926.75,927.0,926.3,926.65,73788
2023-06-26 13:50:00,926.7,926.7,925.0,925.15,113474
2023-06-26 13:55:00,925.15,926.25,925.15,925.85,111989
2023-06-26 14:00:00,925.85,926.7,925.8,925.8,74660
2023-06-26 14:05:00,925.8,926.55,925.8,926.4,130320
2023-06-26 14:10:00,926.0,926.4,925.15,925.9,115145
2023-06-26 14:15:00,925.9,925.95,924.35,924.9,124837
2023-06-26 14:20:00,924.95,925.2,924.3,924.5,94530
2023-06-26 14:25:00,924.85,925.0,924.2,924.8,122261
2023-06-26 14:30:00,924.75,925.95,924.6,925.7,119408
2023-06-26 14:35:00,925.5,926.0,924.9,925.4,125202
2023-06-26 14:40:00,925.4,925.7,924.5,924.9,115136
