date,open,high,low,close,volume
2023-06-23 13:00:00,558.6,558.7,557.65,558.0,138160
2023-06-23 13:05:00,557.9,558.35,557.7,558.15,54003
2023-06-23 13:10:00,558.1,558.35,557.8,558.05,67837
2023-06-23 13:15:00,558.05,558.35,557.8,558.0,132349
2023-06-23 13:20:00,558.05,558.25,557.65,557.8,80444
2023-06-23 13:25:00,557.8,558.0,557.2,557.45,88407
2023-06-23 13:30:00,557.45,557.5,556.75,557.3,192619
2023-06-23 13:35:00,557.2,557.5,556.85,557.15,117989
2023-06-23 13:40:00,557.15,557.8,557.05,557.1,125596
2023-06-23 13:45:00,557.2,557.5,556.85,557.45,66715
2023-06-23 13:50:00,557.5,557.6,557.0,557.1,122111
2023-06-23 13:55:00,557.25,557.5,556.3,556.4,157023
2023-06-23 14:00:00,556.25,556.7,556.0,556.05,226131
2023-06-23 14:05:00,556.1,556.35,555.55,555.85,193057
2023-06-23 14:10:00,555.95,555.95,555.2,555.55,170983
2023-06-23 14:15:00,555.7,555.9,555.2,555.85,91501
2023-06-23 14:20:00,555.85,555.9,554.55,555.15,339899
2023-06-23 14:25:00,555.2,556.0,555.05,555.9,196363
2023-06-23 14:30:00,555.85,556.3,555.2,555.3,235448
2023-06-23 14:35:00,555.3,555.5,555.05,555.25,131250
2023-06-23 14:40:00,555.25,555.5,555.1,555.15,98928
2023-06-23 14:45:00,555.15,555.5,555.0,555.4,167353
2023-06-23 14:50:00,555.5,555.65,555.1,555.3,112966
2023-06-23 14:55:00,555.35,556.35,555.05,555.9,172656
2023-06-23 15:00:00,556.0,556.0,554.7,554.9,385046
2023-06-23 15:05:00,554.85,555.25,554.75,555.1,257641
2023-06-23 15:10:00,555.3,555.3,554.5,554.75,251649
2023-06-23 15:15:00,554.65,555.0,554.05,554.25,467049
2023-06-23 15:20:00,554.2,554.45,553.8,554.3,429403
2023-06-23 15:25:00,554.35,555.3,554.25,555.05,243104
2023-06-26 09:15:00,556.0,556.85,554.6,556.35,440907
2023-06-26 09:20:00,556.2,557.55,555.95,557.4,241558
2023-06-26 09:25:00,557.35,557.95,557.0,557.8,227636
2023-06-26 09:30:00,557.75,558.5,557.6,557.75,171938
2023-06-26 09:35:00,557.75,558.5,557.3,558.1,147918
2023-06-26 09:40:00,558.1,558.45,557.9,558.1,72974
2023-06-26 09:45:00,558.1,558.1,557.0,557.0,113410
2023-06-26 09:50:00,557.2,557.6,557.0,557.35,229629
2023-06-26 09:55:00,557.4,557.4,556.05,556.05,176528
2023-06-26 10:00:00,556.1,556.3,555.05,555.2,226312
2023-06-26 10:05:00,555.2,556.0,555.1,555.4,94673
2023-06-26 10:10:00,555.25,556.05,555.15,555.75,127008
2023-06-26 10:15:00,555.7,555.85,555.2,555.6,63004
2023-06-26 10:20:00,555.55,556.4,555.5,555.95,96280
2023-06-26 10:25:00,555.8,556.25,555.6,555.95,77018
2023-06-26 10:30:00,555.95,556.35,555.5,555.6,70707
2023-06-26 10:35:00,555.5,555.9,555.3,555.45,67106
2023-06-26 10:40:00,555.45,555.45,554.65,555.0,221815
2023-06-26 10:45:00,555.0,555.7,554.8,555.65,69576
2023-06-26 10:50:00,555.5,555.65,555.15,555.3,22446
2023-06-26 10:55:00,555.3,555.7,555.0,555.7,47606
2023-06-26 11:00:00,555.8,556.75,555.6,556.75,59862
2023-06-26 11:05:00,556.55,557.0,556.55,556.9,75775
2023-06-26 11:10:00,556.85,556.9,556.1,556.75,41482
2023-06-26 11:15:00,556.55,556.75,556.2,556.75,34767
2023-06-26 11:20:00,556.65,557.5,556.65,557.15,92260
2023-06-26 11:25:00,557.05,557.4,556.75,557.0,68884
2023-06-26 11:30:00,557.0,557.0,556.15,556.4,52126
2023-06-26 11:35:00,556.35,556.7,556.0,556.6,65955
2023-06-26 11:40:00,556.55,556.55,555.75,555.8,70393
2023-06-26 11:45:00,555.75,556.15,555.3,555.6,78012
2023-06-26 11:50:00,555.6,555.95,555.35,555.55,71886
2023-06-26 11:55:00,555.55,556.05,555.3,556.05,68267
2023-06-26 12:00:00,556.05,556.5,555.9,556.3,56989
2023-06-26 12:05:00,556.25,556.85,556.05,556.85,80819
2023-06-26 12:10:00,556.85,557.95,556.7,557.55,262013
2023-06-26 12:15:00,557.55,557.6,556.95,557.15,115403
2023-06-26 12:20:00,557.15,557.7,557.0,557.65,90450
2023-06-26 12:25:00,557.6,558.2,557.15,557.8,136127
2023-06-26 12:30:00,557.85,558.0,557.05,557.5,81886
2023-06-26 12:35:00,557.35,557.8,557.1,557.55,114919
2023-06-26 12:40:00,557.55,557.7,557.0,557.45,100203
2023-06-26 12:45:00,557.4,557.45,557.0,557.15,63080
2023-06-26 12:50:00,557.1,557.4,557.0,557.0,55385
2023-06-26 12:55:00,557.0,557.05,556.2,556.35,139300
2023-06-26 13:00:00,556.3,556.9,556.1,556.9,110807
2023-06-26 13:05:00,556.85,557.05,556.55,556.6,81197
2023-06-26 13:10:00,556.6,557.25,556.5,557.2,108513
2023-06-26 13:15:00,557.2,557.4,557.0,557.35,66763
2023-06-26 13:20:00,557.3,557.75,557.15,557.4,95293
2023-06-26 13:25:00,557.35,557.8,557.35,557.75,79901
2023-06-26 13:30:00,557.7,557.75,557.2,557.45,52805
2023-06-26 13:35:00,557.45,557.6,557.1,557.25,49286
2023-06-26 13:40:00,557.15,557.55,557.0,557.35,121102
2023-06-26 13:45:00,557.25,557.35,557.2,557.3,26785
2023-06-26 13:50:00,557.25,557.55,556.6,556.75,81743
2023-06-26 13:55:00,556.65,556.8,556.2,556.65,67798
2023-06-26 14:00:00,556.65,557.2,556.6,557.1,40000
2023-06-26 14:05:00,557.05,557.35,556.5,557.3,65547
2023-06-26 14:10:00,557.35,557.4,556.8,556.85,53290
2023-06-26 14:15:00,556.8,557.1,556.25,556.5,51450
2023-06-26 14:20:00,556.5,556.75,556.4,556.4,54254
2023-06-26 14:25:00,556.4,556.7,556.2,556.55,68419
2023-06-26 14:30:00,556.55,556.9,556.45,556.7,72154
2023-06-26 14:35:00,556.65,556.9,556.1,556.5,91984
2023-06-26 14:40:00,556.45,557.0,556.45,556.5,62363
2023-06-26 14:45:00,556.4,557.0,556.4,556.85,46122
2023-06-26 14:50:00,556.85,557.0,556.6,557.0,77783
2023-06-26 14:55:00,556.95,557.25,556.6,557.1,111759
2023-06-26 15:00:00,557.1,557.6,556.95,557.5,217287
2023-06-26 15:05:00,557.5,557.55,556.95,557.3,293595
2023-06-26 15:10:00,557.35,557.6,557.05,557.25,240073
2023-06-26 15:15:00,557.25,557.5,556.35,556.65,298802
2023-06-26 15:20:00,556.65,557.05,556.3,556.95,242125
2023-06-26 15:25:00,557.0,557.5,556.95,557.35,170011
2023-06-27 09:15:00,558.25,559.6,557.7,559.25,428330
2023-06-27 09:20:00,559.4,559.7,558.65,559.25,289425
2023-06-27 09:25:00,559.05,559.65,559.05,559.4,145137
2023-06-27 09:30:00,559.4,559.5,558.75,558.9,127821
2023-06-27 09:35:00,558.9,559.15,558.5,558.6,118708
2023-06-27 09:40:00,558.55,558.95,558.4,558.75,86822
2023-06-27 09:45:00,558.8,558.85,558.1,558.5,97265
2023-06-27 09:50:00,558.3,558.6,558.1,558.35,99806
2023-06-27 09:55:00,558.35,558.5,558.05,558.35,103664
2023-06-27 10:00:00,558.35,559.2,558.05,559.05,99468
2023-06-27 10:05:00,559.05,559.35,558.7,558.85,79247
2023-06-27 10:10:00,558.7,558.95,558.45,558.55,68697
2023-06-27 10:15:00,558.55,558.8,558.0,558.45,110184
2023-06-27 10:20:00,558.45,558.6,558.2,558.25,35370
2023-06-27 10:25:00,558.3,558.65,558.2,558.6,50305
2023-06-27 10:30:00,558.5,558.8,558.35,558.4,67311
2023-06-27 10:35:00,558.45,558.65,558.05,558.4,74896
2023-06-27 10:40:00,558.4,558.45,558.0,558.15,95221
2023-06-27 10:45:00,558.15,558.4,557.5,557.55,171875
2023-06-27 10:50:00,557.6,557.9,557.4,557.75,51107
2023-06-27 10:55:00,557.75,557.8,557.3,557.65,61288
2023-06-27 11:00:00,557.8,558.35,557.6,558.0,63327
2023-06-27 11:05:00,558.05,558.35,557.95,558.25,55054
2023-06-27 11:10:00,558.25,558.35,557.6,557.8,60485
2023-06-27 11:15:00,557.8,558.0,557.7,557.75,29996
2023-06-27 11:20:00,557.75,557.95,557.7,557.9,27998
2023-06-27 11:25:00,557.95,557.95,557.6,557.7,88776
2023-06-27 11:30:00,557.65,557.85,557.5,557.85,46225
2023-06-27 11:35:00,557.8,558.0,557.6,557.65,54899
2023-06-27 11:40:00,557.65,558.3,557.65,557.95,52576
2023-06-27 11:45:00,558.0,558.15,557.85,557.95,39943
2023-06-27 11:50:00,557.95,558.25,557.9,558.15,68299
2023-06-27 11:55:00,558.25,558.25,557.95,558.1,35253
2023-06-27 12:00:00,558.05,558.15,557.4,557.8,68830
2023-06-27 12:05:00,558.0,558.1,557.8,558.0,28609
2023-06-27 12:10:00,558.0,558.0,557.6,557.85,44891
2023-06-27 12:15:00,557.85,558.0,557.3,557.5,54447
2023-06-27 12:20:00,557.5,557.85,557.5,557.75,31375
2023-06-27 12:25:00,557.6,557.95,557.15,557.15,54322
2023-06-27 12:30:00,557.15,557.5,557.15,557.5,28037
2023-06-27 12:35:00,557.5,557.55,557.4,557.4,25648
2023-06-27 12:40:00,557.45,557.55,557.05,557.05,66812
2023-06-27 12:45:00,557.05,557.25,557.0,557.05,62300
2023-06-27 12:50:00,557.05,557.1,556.7,556.75,74232
2023-06-27 12:55:00,556.85,556.95,556.3,556.3,75219
2023-06-27 13:00:00,556.5,556.6,555.85,556.1,84357
2023-06-27 13:05:00,556.1,556.25,555.7,556.1,73792
